Rank,City,PriceToIncomeRatio,GrossRentalYieldCityCentre,GrossRentalYieldOutsideOfCentre,PriceToRentRatioCityCentre,PriceToRentRatioOutsideOfCityCentre,MortgageAsAPercentageOfIncome,AffordabilityIndex
1,Saarbrucken,5.39,4.47,4.88,22.37,20.48,32.25,3.10
2,Essen,5.54,5.79,4.18,17.27,23.91,33.38,3.00
3,Dortmund,5.52,3.49,3.94,28.66,25.36,33.58,2.98
4,Mainz,6.19,4.42,4.06,22.64,24.65,36.80,2.72
5,Dresden,6.15,3.78,3.67,26.43,27.27,36.98,2.70
6,Aachen,6.67,2.71,3.97,36.92,25.22,37.69,2.65
7,Erlangen,6.77,2.99,2.83,33.45,35.31,39.88,2.51
8,Mannheim,6.63,3.60,3.20,27.78,31.21,41.07,2.43
9,Bremen,7.28,3.95,4.21,25.33,23.76,44.95,2.22
10,Nuremberg,7.88,3.14,3.27,31.85,30.54,45.42,2.20
11,Darmstadt,7.62,2.85,4.46,35.05,22.43,45.63,2.19
12,Karlsruhe,7.93,3.24,3.60,30.83,27.78,46.01,2.17
13,Leipzig,8.07,3.58,4.23,27.92,23.63,48.28,2.07
14,Hanover,8.09,3.37,3.37,29.67,29.68,49.23,2.03
15,Heidelberg,8.63,3.91,4.74,25.56,21.11,51.26,1.95
16,Bonn,9.22,3.14,3.13,31.84,31.98,56.32,1.78
17,Stuttgart,9.27,3.44,3.72,29.09,26.90,56.40,1.77
18,Berlin,9.89,3.40,3.69,29.41,27.09,58.84,1.70
19,Dusseldorf,10.51,3.00,3.13,33.31,31.94,61.70,1.62
20,Hamburg,10.50,2.97,3.48,33.68,28.70,62.33,1.60
21,Frankfurt,10.42,3.10,3.20,32.30,31.23,62.64,1.60
22,Cologne,9.77,3.24,3.41,30.85,29.30,63.04,1.59
23,Ulm,10.10,2.97,2.82,33.65,35.51,63.54,1.57
24,Augsburg,11.90,2.64,2.95,37.88,33.85,68.93,1.45
25,Freiburg im Breisgau,12.06,2.98,3.12,33.61,32.05,71.54,1.40
26,Munich,15.62,2.40,2.55,41.74,39.25,91.10,1.10
